,Carbon source 1 (category),Carbon source 1 (g/L),Carbon source 1 heat of combustion (kJ/mol),Carbon source 1 heat of combustion (kJ/g),Carbon source 2 (category),Carbon source 2 (g/L),Carbon source 2 heat of combustion (kJ/mol),Carbon source 2 heat of combustion (kJ/g),Product class,Product Gibbs energy of formation in Equilibrator,Number of carbon atoms in the product,Number of hydrogen atoms in the product,Number of oxygen atoms in the product,MW of product (g/mol),Fermentation time (h),Pathway enzymatic steps,ATP cost,NADH or NADPH cost,Reactor type,Cultivation volume (L),Medium type,Temperature,pH,Estimation of N2 levels,Genes modified,Genes deleted,Genes overexpressed,Heterologous genes
2392,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,2915.1,40.0,52.0,2.0,564.0,72.0,15.0,24.0,24.0,5.0,0.003,3.0,30.0,0.0,2.0,7.0,0.0,3.0,6.0
1365,10.0,10.0,34734.5,40.0,0.0,0.0,0.0,0.0,1.0,-952.0,6.0,8.0,7.0,192.0,144.0,0.0,0.0,0.0,1.0,0.05,2.0,28.5,5.5,1.0,0.0,0.0,0.0,0.0
2682,2.0,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,7.0,-366.5,4.0,10.0,4.0,122.0,168.0,2.0,0.0,-1.0,1.0,0.05,2.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0
3332,1.0,100.0,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,-338.1,3.0,4.0,3.0,88.0,308.0,0.0,0.0,0.0,4.0,3.5,3.0,30.0,0.0,3.0,3.0,0.0,0.0,4.0
1719,1.0,50.0,2805.0,15.58,0.0,0.0,0.0,0.0,3.0,2815.2,15.0,24.0,0.0,204.0,120.0,10.0,18.0,12.0,2.0,0.8,3.0,30.0,6.5,2.0,8.0,0.0,7.0,3.0
2254,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3394.8,40.0,56.0,0.0,536.0,72.0,13.0,24.0,20.0,5.0,0.003,3.0,30.0,0.0,2.0,7.0,0.0,3.0,6.0
2532,1.0,20.0,2805.0,15.58,8.0,60.0,2810.4,16.0,2.0,-203.2,17.6,33.8,2.0,869.7,168.0,12.0,23.4,46.9,1.0,0.05,2.0,30.0,0.0,2.0,2.0,0.0,0.0,3.0
3929,1.0,30.0,2805.0,15.58,0.0,0.0,0.0,0.0,10.0,-63.0,1.0,1.82,0.51,0.0,24.0,0.0,0.0,0.0,1.0,0.1,1.0,30.0,4.14,1.0,0.0,0.0,0.0,0.0
1682,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,-168.0,6.0,12.0,4.0,148.0,96.0,3.0,0.0,2.0,1.0,0.05,3.0,30.0,0.0,2.0,2.0,0.0,1.0,2.0
395,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,9.0,-134.4,6.0,6.0,3.0,126.0,96.0,2.0,2.0,0.0,1.0,0.01,1.0,28.0,0.0,1.0,4.0,0.0,5.0,1.0
2410,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3154.9,40.0,56.0,1.0,552.0,72.0,14.0,24.0,22.0,5.0,0.003,3.0,30.0,0.0,2.0,6.0,0.0,1.0,5.0
4006,2.0,16.0,1660.45,18.0,0.0,0.0,0.0,0.0,10.0,-63.0,1.0,1.82,0.51,0.0,18.0,0.0,0.0,0.0,1.0,0.01,1.0,30.0,5.5,1.0,0.0,0.0,0.0,0.0
1463,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,120.0,12.0,23.4,46.9,1.0,0.05,1.0,30.0,0.0,1.0,3.0,0.0,3.0,1.0
488,7.0,60.0,2342.2,16.0,0.0,0.0,0.0,0.0,1.0,-952.0,6.0,8.0,7.0,192.0,144.0,0.0,0.0,0.0,1.0,0.05,1.0,28.0,6.8,1.0,11.0,7.0,3.0,2.0
3057,1.0,1242.0,2805.0,15.58,0.0,0.0,0.0,0.0,3.0,887.7,13.0,20.0,1.0,192.0,288.0,14.0,24.0,20.0,4.0,1.7,3.0,25.0,0.0,1.0,15.0,2.0,12.0,5.0
477,1.0,20.0,2805.0,15.58,6.0,2.367,1370.0,29.7,6.0,-237.483351708931,19.1686879823594,37.2855567805954,2.0,299.309812568908,72.0,10.0,8.58434399117971,17.1686879823594,1.0,0.05,3.0,30.0,0.0,2.0,1.0,1.0,1.0,1.0
2152,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,2575.9,40.0,52.0,4.0,596.0,72.0,16.0,24.0,28.0,5.0,0.003,3.0,30.0,0.0,2.0,7.0,0.0,3.0,6.0
2238,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3394.8,40.0,56.0,0.0,536.0,72.0,13.0,24.0,20.0,5.0,0.003,3.0,30.0,0.0,2.0,7.0,0.0,3.0,6.0
587,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,3.0,207.2,15.0,24.0,0.0,204.0,120.0,10.0,9.0,6.0,1.0,0.03,3.0,30.0,0.0,2.0,2.0,0.0,0.0,3.0
2072,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,3.0,2815.2,15.0,24.0,0.0,204.0,120.0,10.0,18.0,12.0,2.0,2.5,3.0,30.0,6.5,2.0,2.0,0.0,3.0,1.0
3771,1.0,61.0,2805.0,15.58,7.0,47.6,2342.2,16.0,2.0,-203.2,17.6,33.8,2.0,869.7,48.0,12.0,23.4,46.9,5.0,0.0005,1.0,28.0,6.0,1.0,0.0,0.0,0.0,0.0
2955,1.0,60.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,144.0,12.0,23.4,46.9,1.0,0.05,1.0,30.0,6.8,3.0,4.0,2.0,2.0,1.0
267,8.0,100.0,2810.4,16.0,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,120.0,12.0,23.4,46.9,1.0,0.05,1.0,28.0,6.8,1.0,0.0,0.0,0.0,0.0
1021,2.5,20.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-338.1,3.0,4.0,3.0,88.0,144.0,0.0,0.0,0.0,1.0,0.05,1.0,28.0,0.0,2.0,0.0,0.0,0.0,0.0
2646,1.0,50.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,96.0,12.0,23.4,46.9,1.0,0.05,1.0,30.0,0.0,1.0,3.0,1.0,0.0,3.0
831,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,5.0,347.9,17.0,20.0,6.0,376.0,72.0,6.0,1.0,1.0,1.0,0.002,1.0,28.0,0.0,2.0,2.0,1.0,2.0,0.0
2732,2.0,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,7.0,-366.5,4.0,10.0,4.0,122.0,168.0,2.0,0.0,-1.0,1.0,0.05,2.0,28.0,6.0,2.0,0.0,0.0,0.0,0.0
1708,1.0,50.0,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,-168.0,6.0,12.0,4.0,148.0,120.0,3.0,0.0,2.0,2.0,0.8,3.0,30.0,6.5,2.0,8.0,0.0,7.0,3.0
1875,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3394.8,40.0,56.0,0.0,536.0,50.0,13.0,24.0,20.0,5.0,0.0008,3.0,28.0,2.0,2.0,2.0,0.0,1.0,2.0
940,2.0,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-619.9,5.0,6.0,5.0,146.0,144.0,0.0,0.0,0.0,1.0,0.05,1.0,28.0,6.16,1.0,0.0,0.0,0.0,0.0
4525,1.0,0.0,2805.0,15.58,7.0,8.5,2342.2,16.0,2.0,-203.2,17.6,33.8,2.0,869.7,144.0,12.0,23.4,46.9,1.0,0.05,1.0,30.0,6.0,2.0,0.0,0.0,0.0,0.0
3448,1.0,50.0,2805.0,15.58,8.0,50.0,2810.4,16.0,7.0,-366.5,4.0,10.0,4.0,122.0,132.0,2.0,0.0,-1.0,2.0,2.0,1.0,28.0,0.0,1.0,3.0,0.0,0.0,4.0
1876,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3394.8,40.0,56.0,0.0,536.0,50.0,13.0,24.0,20.0,5.0,0.0008,3.0,28.0,3.5,2.0,2.0,0.0,1.0,2.0
979,2.5,20.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-619.9,5.0,6.0,5.0,146.0,144.0,0.0,0.0,0.0,1.0,0.05,1.0,28.0,0.0,2.0,0.0,0.0,0.0,0.0
2104,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,3.0,161.4,15.0,24.0,0.0,204.0,144.0,10.0,9.0,6.0,1.0,0.04,2.0,30.0,0.0,2.0,2.0,0.0,2.0,1.0
55,1.0,10.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3394.8,40.0,56.0,0.0,536.0,96.0,13.0,24.0,20.0,1.0,0.05,3.0,28.0,0.0,2.0,12.0,7.0,4.0,2.0
2506,1.0,125.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3687.0,40.0,56.0,0.0,536.0,168.0,12.0,24.0,20.0,4.0,0.75,1.0,28.0,5.5,1.0,10.0,7.0,4.0,2.0
3792,1.0,61.0,2805.0,15.58,7.0,47.6,2342.2,16.0,2.0,-203.2,17.6,33.8,2.0,869.7,48.0,12.0,23.4,46.9,5.0,0.0005,1.0,28.0,6.0,1.0,0.0,0.0,0.0,0.0
3964,2.0,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-338.1,3.0,4.0,3.0,88.0,144.0,0.0,0.0,0.0,1.0,0.05,1.0,28.0,4.5,1.0,0.0,0.0,0.0,0.0
1783,1.0,24.5,2805.0,15.58,0.0,0.0,0.0,0.0,3.0,841.0,10.0,16.0,0.0,136.0,216.0,9.0,6.0,4.0,1.0,0.05,3.0,20.0,7.8,2.0,1.0,0.0,1.0,1.0
4136,2.0,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,10.0,-63.0,1.0,1.82,0.51,0.0,24.0,0.0,0.0,0.0,1.0,0.05,1.0,28.0,4.5,2.0,0.0,0.0,0.0,0.0
1998,4.0,3.0,874.0,14.55,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,72.0,12.0,23.4,46.9,1.0,0.1,3.0,28.0,9.0,2.0,0.0,0.0,0.0,0.0
2560,1.0,60.0,2805.0,15.58,8.0,20.0,2810.4,16.0,4.0,3687.0,40.0,56.0,0.0,536.0,168.0,12.0,24.0,20.0,1.0,0.05,2.0,30.0,0.0,2.0,2.0,0.0,0.0,3.0
2076,1.0,115.0,2805.0,15.58,0.0,0.0,0.0,0.0,3.0,2815.2,15.0,24.0,0.0,204.0,150.0,10.0,18.0,12.0,4.0,2.5,3.0,30.0,6.5,2.0,2.0,0.0,3.0,1.0
2612,1.0,50.0,2805.0,15.58,0.0,0.0,0.0,0.0,6.0,837.5,10.0,22.0,1.0,158.0,96.0,10.0,5.0,10.0,1.0,0.05,2.0,30.0,0.0,1.0,2.0,0.0,0.0,3.0
3713,1.0,61.0,2805.0,15.58,7.0,47.6,2342.2,16.0,10.0,-63.0,1.0,1.82,0.51,0.0,48.0,0.0,0.0,0.0,5.0,0.0005,1.0,28.0,6.0,1.0,0.0,0.0,0.0,0.0
4581,1.0,120.0,2805.0,15.58,0.0,0.0,0.0,0.0,6.0,164.0,3.0,8.0,0.0,60.1,72.0,0.0,0.0,0.0,1.0,0.05,3.0,30.0,5.89,3.0,3.0,0.0,4.0,0.0
3494,2.0,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,7.0,-366.5,4.0,10.0,4.0,122.0,78.0,2.0,0.0,-1.0,1.0,0.1,1.0,28.0,3.0,1.0,0.0,0.0,0.0,1.0
3561,6.0,20.0,1367.6,29.69,46.0,4.5e-06,0.0,0.0,10.0,-63.0,1.0,1.82,0.51,0.0,192.0,0.0,0.0,0.0,1.0,0.05,1.0,30.0,3.5,2.0,0.0,0.0,0.0,0.0
3459,1.0,50.0,2805.0,15.58,8.0,50.0,2810.4,16.0,7.0,-252.9,5.0,12.0,5.0,152.0,132.0,3.0,6.0,1.0,2.0,2.0,1.0,28.0,0.0,1.0,2.0,0.0,0.0,3.0
632,1.0,40.0,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,-507.6,4.0,6.0,4.0,118.0,96.0,0.0,0.0,0.0,1.0,0.05,3.0,28.0,4.5,2.0,0.0,0.0,0.0,0.0
2856,2.0,240.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-945.1,6.0,8.0,7.0,192.0,230.0,0.0,0.0,0.0,4.0,2.0,1.0,30.0,3.0,1.0,0.0,0.0,0.0,1.0
3583,10.0,100.0,34734.5,40.0,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,120.0,12.0,23.4,46.9,1.0,9.1,2.0,30.0,5.5,2.0,0.0,0.0,0.0,0.0
87,1.0,40.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,91.5,12.0,23.4,46.9,1.0,0.05,3.0,28.0,6.0,1.0,0.0,0.0,0.0,0.0
2942,1.0,60.0,2805.0,15.58,0.0,0.0,0.0,0.0,6.0,-218.252100840336,17.5798319327731,33.03081232493,2.0,275.988795518207,144.0,7.0,7.78991596638655,15.5798319327731,1.0,0.05,1.0,30.0,6.8,3.0,7.0,6.0,2.0,0.0
4201,7.0,20.0,2342.2,16.0,0.0,0.0,0.0,0.0,7.0,-260.7,5.0,12.0,5.0,152.0,144.0,1.0,0.0,1.0,1.0,0.1,1.0,30.0,6.8,2.0,0.0,0.0,0.0,0.0
3601,2.0,80.0,1660.45,18.0,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,175.0,12.0,23.4,46.9,2.0,1.8,2.0,28.0,6.0,2.0,0.0,0.0,0.0,0.0
3776,1.0,61.0,2805.0,15.58,7.0,47.6,2342.2,16.0,2.0,-203.2,17.6,33.8,2.0,869.7,48.0,12.0,23.4,46.9,5.0,0.0005,1.0,28.0,6.0,1.0,0.0,0.0,0.0,0.0
3870,10.0,10.0,34734.5,40.0,0.0,0.0,0.0,0.0,10.0,-63.0,1.0,1.82,0.51,0.0,192.0,0.0,0.0,0.0,1.0,0.05,1.0,29.5,5.25,1.0,0.0,0.0,0.0,0.0
2140,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,2575.9,40.0,52.0,4.0,596.0,72.0,16.0,24.0,28.0,5.0,0.003,3.0,30.0,0.0,2.0,7.0,0.0,3.0,6.0
439,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,6.0,-247.434857723577,19.0853658536585,37.3556910569106,2.0,298.380081300813,72.0,10.0,8.54268292682927,17.0853658536585,1.0,0.05,3.0,30.0,0.0,2.0,0.0,0.0,0.0,0.0
3394,8.0,480.0,2810.4,16.0,0.0,0.0,0.0,0.0,7.0,-252.9,5.0,12.0,5.0,152.0,144.0,3.0,6.0,1.0,4.0,2.3,1.0,28.0,5.5,3.0,0.0,0.0,0.0,0.0
3354,1.0,100.0,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,-797.0,6.0,3.0,6.0,171.0,386.0,1.0,0.0,0.0,4.0,3.5,3.0,30.0,0.0,3.0,3.0,0.0,0.0,4.0
149,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,2915.1,40.0,52.0,2.0,564.0,72.0,15.0,24.0,24.0,5.0,0.003,3.0,30.0,0.0,2.0,6.0,0.0,3.0,5.0
3856,10.0,10.0,34734.5,40.0,0.0,0.0,0.0,0.0,10.0,-63.0,1.0,1.82,0.51,0.0,192.0,0.0,0.0,0.0,1.0,0.05,1.0,29.5,5.25,1.0,0.0,0.0,0.0,0.0
3541,6.0,20.0,1367.6,29.69,0.0,0.0,0.0,0.0,1.0,-619.9,5.0,6.0,5.0,146.0,192.0,0.0,0.0,0.0,1.0,0.05,1.0,30.0,3.5,3.0,0.0,0.0,0.0,0.0
1,1.0,90.0,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,-952.0,6.0,8.0,7.0,192.0,162.0,0.0,0.0,0.0,2.0,0.5,2.0,30.0,6.0,3.0,0.0,0.0,0.0,0.0
2528,1.0,20.0,2805.0,15.58,8.0,20.0,2810.4,16.0,2.0,-203.2,17.6,33.8,2.0,869.7,168.0,12.0,23.4,46.9,1.0,0.05,2.0,30.0,0.0,2.0,2.0,0.0,0.0,3.0
506,7.0,250.0,2342.2,16.0,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,117.0,12.0,23.4,46.9,4.0,2.0,2.0,28.0,3.5,1.0,11.0,7.0,3.0,2.0
370,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,9.0,-134.4,6.0,6.0,3.0,126.0,96.0,2.0,2.0,0.0,1.0,0.01,1.0,28.0,0.0,2.0,3.0,0.0,4.0,1.0
1766,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,3.0,841.0,10.0,16.0,0.0,136.0,120.0,9.0,6.0,4.0,1.0,0.03,3.0,30.0,7.5,2.0,1.0,0.0,1.0,1.0
2665,1.0,300.0,2805.0,15.58,3.0,1.58,1988.0,10.35,7.0,-366.5,4.0,10.0,4.0,122.0,80.0,2.0,0.0,-1.0,1.0,0.5,3.0,28.0,5.0,1.0,4.0,0.0,5.0,0.0
3383,2.0,480.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-945.1,6.0,8.0,7.0,192.0,144.0,0.0,0.0,0.0,4.0,12.04,1.0,28.0,5.5,3.0,0.0,0.0,0.0,0.0
1001,2.5,20.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-619.9,5.0,6.0,5.0,146.0,144.0,0.0,0.0,0.0,1.0,0.05,1.0,28.0,0.0,2.0,0.0,0.0,0.0,0.0
2885,20.0,200.0,105803.0,6.3,0.0,0.0,0.0,0.0,7.0,-333.1,6.0,14.0,6.0,182.0,240.0,2.0,0.0,1.0,4.0,2.0,1.0,30.0,5.0,1.0,0.0,0.0,0.0,1.0
3956,1.0,30.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,24.0,12.0,23.4,46.9,1.0,0.1,1.0,30.0,6.75,1.0,0.0,0.0,0.0,0.0
1784,1.0,115.0,2805.0,15.58,0.0,0.0,0.0,0.0,3.0,841.0,10.0,16.0,0.0,136.0,72.0,9.0,6.0,4.0,4.0,2.2,3.0,28.0,5.7,2.0,1.0,0.0,1.0,1.0
983,2.5,20.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-619.9,5.0,6.0,5.0,146.0,144.0,0.0,0.0,0.0,1.0,0.05,1.0,28.0,0.0,2.0,0.0,0.0,0.0,0.0
1429,10.0,10.0,34734.5,40.0,0.0,0.0,0.0,0.0,1.0,-945.1,6.0,8.0,7.0,192.0,144.0,0.0,0.0,0.0,2.0,5.0,2.0,28.5,6.0,1.0,0.0,0.0,0.0,0.0
3352,1.0,100.0,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,-797.0,6.0,3.0,6.0,171.0,201.0,1.0,0.0,0.0,4.0,3.5,3.0,30.0,0.0,3.0,3.0,0.0,0.0,4.0
4610,1.0,40.0,2805.0,15.58,0.0,0.0,0.0,0.0,10.0,-63.0,1.0,1.82,0.51,0.0,120.0,0.0,0.0,0.0,1.0,0.03,1.0,30.0,6.0,1.0,2.0,0.0,0.0,3.0
2201,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,2575.9,40.0,52.0,4.0,596.0,72.0,16.0,24.0,28.0,5.0,0.003,3.0,30.0,0.0,2.0,7.0,0.0,3.0,6.0
2078,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,3.0,813.0,10.0,18.0,1.0,154.0,72.0,9.0,6.0,4.0,1.0,0.05,3.0,30.0,0.0,2.0,1.0,0.0,1.0,1.0
3885,2.5,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,72.0,12.0,23.4,46.9,1.0,0.5,1.0,28.0,6.5,1.0,0.0,0.0,0.0,0.0
4111,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,6.0,-287.6,16.57,31.59,2.0,262.43,24.0,10.0,6.64091463414634,13.2818292682927,1.0,0.005,3.0,30.0,0.0,3.0,0.0,0.0,0.0,0.0
3074,42.0,0.41,1327.85,22.0,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,24.0,12.0,23.4,46.9,1.0,0.2,1.0,27.0,6.0,2.0,0.0,0.0,0.0,0.0
1513,25.0,150.0,11193.8736,39.6,0.0,0.0,0.0,0.0,1.0,-619.9,5.0,6.0,5.0,146.0,188.0,0.0,0.0,0.0,2.0,2.0,1.0,30.0,3.5,3.0,0.0,0.0,0.0,0.0
1343,1.0,620.0,2805.0,15.58,0.0,0.0,0.0,0.0,3.0,912.6,13.0,20.0,1.0,192.0,190.0,14.0,24.0,20.0,4.0,3.0,3.0,30.0,5.5,2.0,13.0,0.0,10.0,6.0
4503,10.0,16.0,34734.5,40.0,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,75.0,12.0,23.4,46.9,1.0,0.05,2.0,28.0,6.0,2.0,0.0,0.0,0.0,0.0
3110,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,-22.6,9.0,7.0,3.0,163.0,72.0,10.0,9.0,18.0,5.0,0.003,3.0,30.0,6.0,3.0,0.0,0.0,0.0,0.0
2313,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,2915.1,40.0,52.0,2.0,564.0,72.0,15.0,24.0,24.0,5.0,0.003,3.0,30.0,0.0,2.0,6.0,0.0,2.0,5.0
2050,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,3.0,555.4,15.0,24.0,0.0,204.0,120.0,10.0,9.0,6.0,1.0,0.03,3.0,30.0,0.0,2.0,1.0,0.0,2.0,1.0
949,2.0,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-338.1,3.0,4.0,3.0,88.0,144.0,0.0,0.0,0.0,1.0,0.05,1.0,28.0,2.79,1.0,0.0,0.0,0.0,0.0
3324,1.0,100.0,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,-945.1,6.0,8.0,7.0,192.0,96.0,2.0,0.0,0.0,1.0,0.05,3.0,30.0,7.0,3.0,1.0,0.0,0.0,1.0
4511,44.0,15.0,2805.0,16.0,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,72.0,12.0,23.4,46.9,1.0,0.1,1.0,30.0,6.0,1.0,0.0,0.0,0.0,0.0
4478,2.0,150.0,1660.45,18.0,0.0,0.0,0.0,0.0,10.0,-63.0,1.0,1.82,0.51,0.0,144.0,0.0,0.0,0.0,1.0,0.05,1.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0
2538,1.0,10.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3687.0,40.0,56.0,0.0,536.0,168.0,12.0,24.0,20.0,1.0,0.05,2.0,30.0,0.0,2.0,2.0,0.0,0.0,3.0
4368,1.0,103.0,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,-945.1,6.0,8.0,7.0,192.0,144.0,0.0,0.0,0.0,2.0,6.0,1.0,30.0,6.0,1.0,0.0,0.0,0.0,0.0
4293,43.0,43.6,34734.5,17.9,24.0,20.0,5631.6,16.5,1.0,-952.0,6.0,8.0,7.0,192.0,48.0,0.0,0.0,0.0,1.0,0.1,1.0,20.0,5.5,1.0,0.0,0.0,0.0,0.0
58,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3394.8,40.0,56.0,0.0,536.0,96.0,13.0,24.0,20.0,1.0,0.05,1.0,28.0,6.8,2.0,12.0,7.0,6.0,2.0
203,7.0,30.0,2342.2,16.0,0.0,0.0,0.0,0.0,4.0,-444.9,30.0,52.0,3.0,460.0,96.0,13.0,18.0,15.0,1.0,0.05,3.0,30.0,0.0,2.0,3.0,1.0,1.0,2.0
964,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,3.0,2815.2,30.0,50.0,0.0,410.0,120.0,10.0,18.0,12.0,1.0,0.05,3.0,30.0,0.0,2.0,0.0,0.0,1.0,0.0
1814,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,5.0,-160.2,15.0,12.0,5.0,272.0,96.0,10.0,5.0,1.0,1.0,0.05,2.0,28.0,5.5,1.0,2.0,0.0,0.0,3.0
2175,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,2575.9,40.0,52.0,4.0,596.0,72.0,16.0,24.0,28.0,5.0,0.003,3.0,30.0,0.0,2.0,7.0,0.0,3.0,6.0
397,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,9.0,-134.4,6.0,6.0,3.0,126.0,96.0,2.0,2.0,0.0,1.0,0.01,1.0,28.0,0.0,1.0,0.0,0.0,1.0,1.0
3106,1.0,60.0,2805.0,15.58,0.0,0.0,0.0,0.0,3.0,1427.7,15.0,24.0,0.0,204.0,72.0,13.0,18.0,17.0,1.0,0.05,1.0,30.0,5.0,3.0,12.0,9.0,1.0,3.0
221,1.0,26.0,2805.0,15.58,40.0,2.0,1528.3,20.9,2.0,-203.2,17.6,33.8,2.0,869.7,152.0,12.0,23.4,46.9,1.0,0.03,1.0,28.0,6.8,1.0,4.0,3.0,2.0,0.0
4065,10.0,10.0,34734.5,40.0,0.0,0.0,0.0,0.0,1.0,-945.1,6.0,8.0,7.0,192.0,144.0,0.0,0.0,0.0,1.0,0.05,1.0,29.0,5.0,1.0,0.0,0.0,0.0,0.0
4067,10.0,10.0,34734.5,40.0,0.0,0.0,0.0,0.0,1.0,-945.1,6.0,8.0,7.0,192.0,144.0,0.0,0.0,0.0,1.0,0.05,1.0,29.0,5.0,1.0,0.0,0.0,0.0,0.0
4164,9.0,84.0,5643.4,16.5,0.0,0.0,0.0,0.0,10.0,-63.0,1.0,1.82,0.51,0.0,72.0,0.0,0.0,0.0,5.0,0.0003,1.0,30.0,6.8,1.0,0.0,0.0,0.0,0.0
3639,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,422.9,15.0,19.0,4.0,263.31,72.0,3.0,2.0,0.0,5.0,0.0025,3.0,30.0,5.5,3.0,0.0,0.0,0.0,0.0
1474,1.0,153.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,110.0,12.0,23.4,46.9,5.0,0.0008,3.0,28.0,6.8,1.0,0.0,0.0,1.0,1.0
1059,1.0,30.0,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,-338.1,3.0,4.0,3.0,88.0,96.0,0.0,0.0,0.0,1.0,0.05,1.0,28.0,5.0,3.0,0.0,0.0,0.0,0.0
1818,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,5.0,262.5,14.0,12.0,3.0,228.0,168.0,10.0,5.0,1.0,1.0,0.05,2.0,28.0,5.5,1.0,4.0,0.0,2.0,3.0
3764,1.0,61.0,2805.0,15.58,7.0,47.6,2342.2,16.0,2.0,-203.2,17.6,33.8,2.0,869.7,48.0,12.0,23.4,46.9,5.0,0.0005,1.0,28.0,6.0,1.0,0.0,0.0,0.0,0.0
1516,25.0,150.0,11193.8736,39.6,0.0,0.0,0.0,0.0,1.0,-619.9,5.0,6.0,5.0,146.0,188.0,0.0,0.0,0.0,2.0,2.0,1.0,30.0,3.5,3.0,0.0,0.0,0.0,0.0
