,Carbon source 1 (category),Carbon source 1 (g/L),Carbon source 1 heat of combustion (kJ/mol),Carbon source 1 heat of combustion (kJ/g),Carbon source 2 (category),Carbon source 2 (g/L),Carbon source 2 heat of combustion (kJ/mol),Carbon source 2 heat of combustion (kJ/g),Product class,Product Gibbs energy of formation in Equilibrator,Number of carbon atoms in the product,Number of hydrogen atoms in the product,Number of oxygen atoms in the product,MW of product (g/mol),Fermentation time (h),Pathway enzymatic steps,ATP cost,NADH or NADPH cost,Reactor type,Cultivation volume (L),Medium type,Temperature,pH,Estimation of N2 levels,Genes modified,Genes deleted,Genes overexpressed,Heterologous genes
422,1.0,20.0,2805.0,15.58,1.0,10.0,2805.0,15.58,9.0,-134.4,6.0,6.0,3.0,126.0,96.0,2.0,2.0,0.0,1.0,0.01,1.0,28.0,0.0,1.0,4.0,0.0,5.0,1.0
1772,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,3.0,841.0,10.0,16.0,0.0,136.0,120.0,9.0,6.0,4.0,1.0,0.03,3.0,20.0,5.75,2.0,1.0,0.0,1.0,1.0
3645,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,422.9,15.0,19.0,4.0,263.31,138.0,3.0,2.0,0.0,2.0,0.25,3.0,30.0,5.5,3.0,0.0,0.0,0.0,0.0
3272,1.0,100.0,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,-945.1,6.0,8.0,7.0,192.0,96.0,2.0,0.0,0.0,1.0,0.05,3.0,30.0,7.0,3.0,3.0,0.0,0.0,4.0
1972,1.0,40.0,2805.0,15.58,0.0,0.0,0.0,0.0,5.0,-536.4,15.0,12.0,7.0,304.0,144.0,12.0,5.0,2.0,1.0,0.025,2.0,30.0,4.5,1.0,7.0,0.0,4.0,7.0
4235,1.0,10.0,2805.0,15.58,0.0,0.0,0.0,0.0,10.0,-63.0,1.0,1.82,0.51,0.0,96.0,0.0,0.0,0.0,1.0,0.25,3.0,25.0,6.5,3.0,0.0,0.0,0.0,0.0
228,1.0,530.0,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,-952.0,6.0,8.0,7.0,192.0,145.0,0.0,0.0,0.0,4.0,3.0,1.0,28.0,5.6,3.0,0.0,0.0,0.0,0.0
893,2.0,20.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-507.6,4.0,6.0,4.0,118.0,48.0,0.0,0.0,0.0,1.0,0.05,3.0,28.0,0.0,2.0,1.0,2.0,0.0,0.0
451,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,6.0,-232.0,19.0853658536585,37.3556910569106,2.0,298.380081300813,72.0,10.0,8.54268292682927,17.0853658536585,1.0,0.05,3.0,30.0,0.0,2.0,1.0,0.0,2.0,1.0
1270,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,387.2,30.0,50.0,2.0,442.0,168.0,13.0,18.0,15.0,1.0,0.05,3.0,28.0,0.0,2.0,3.0,0.0,1.0,3.0
4613,4.0,40.0,874.0,14.55,0.0,0.0,0.0,0.0,3.0,2815.2,30.0,50.0,0.0,410.0,120.0,0.0,0.0,0.0,1.0,0.03,1.0,30.0,6.0,1.0,2.0,0.0,0.0,3.0
1306,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,3.0,2815.2,30.0,50.0,0.0,410.0,168.0,10.0,18.0,12.0,1.0,0.05,3.0,28.0,0.0,2.0,0.0,0.0,0.0,0.0
114,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,2575.9,40.0,52.0,4.0,596.0,72.0,16.0,24.0,28.0,5.0,0.003,3.0,30.0,0.0,2.0,6.0,0.0,3.0,5.0
518,2.0,50.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-952.0,6.0,8.0,7.0,192.0,72.0,0.0,0.0,0.0,1.0,0.05,2.0,28.0,6.0,2.0,0.0,0.0,0.0,0.0
836,1.0,5.0,2805.0,15.58,25.0,30.0,11193.8736,39.0,2.0,-203.2,17.6,33.8,2.0,869.7,24.0,12.0,23.4,46.9,1.0,0.015,1.0,28.0,6.8,1.0,0.0,0.0,0.0,0.0
3476,2.0,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,7.0,-333.1,6.0,14.0,6.0,182.0,132.0,2.0,0.0,1.0,2.0,2.0,1.0,28.0,0.0,1.0,2.0,0.0,0.0,3.0
4579,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,6.0,164.0,3.0,8.0,0.0,60.1,72.0,0.0,0.0,0.0,1.0,0.05,3.0,30.0,5.89,3.0,3.0,0.0,4.0,0.0
2652,1.0,50.0,2805.0,15.58,0.0,0.0,0.0,0.0,6.0,1543.7,18.0,38.0,1.0,270.0,96.0,10.0,9.0,18.0,1.0,0.05,1.0,30.0,0.0,1.0,3.0,1.0,0.0,3.0
3521,6.0,20.0,1367.6,29.69,46.0,7e-07,0.0,0.0,1.0,-619.9,5.0,6.0,5.0,146.0,192.0,0.0,0.0,0.0,1.0,0.05,1.0,30.0,3.5,2.0,0.0,0.0,0.0,0.0
716,2.0,150.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-952.0,6.0,8.0,7.0,192.0,165.0,0.0,0.0,0.0,4.0,0.5,1.0,28.0,5.0,2.0,0.0,1.0,0.0,0.0
319,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,9.0,-134.4,6.0,6.0,3.0,126.0,96.0,2.0,2.0,0.0,1.0,0.04,1.0,28.0,0.0,2.0,0.0,0.0,0.0,1.0
1471,1.0,365.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,72.0,12.0,23.4,46.9,4.0,1.6,1.0,28.0,5.5,3.0,3.0,0.0,3.0,1.0
3031,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,9.0,-134.4,6.0,6.0,3.0,126.0,96.0,2.0,2.0,0.0,1.0,0.05,3.0,28.0,0.0,2.0,4.0,0.0,5.0,1.0
2586,1.0,30.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3687.0,40.0,56.0,0.0,536.0,96.0,12.0,24.0,20.0,1.0,0.05,2.0,30.0,5.5,1.0,2.0,0.0,1.0,3.0
447,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,6.0,-247.434857723577,19.0853658536585,37.3556910569106,2.0,298.380081300813,72.0,10.0,8.54268292682927,17.0853658536585,1.0,0.05,3.0,30.0,0.0,2.0,0.0,0.0,1.0,1.0
3030,7.0,20.0,2342.2,16.0,0.0,0.0,0.0,0.0,5.0,347.9,17.0,20.0,6.0,376.0,400.0,6.0,1.0,1.0,1.0,0.05,3.0,28.0,0.0,2.0,5.0,1.0,5.0,0.0
2507,1.0,140.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3687.0,40.0,56.0,0.0,536.0,192.0,12.0,24.0,20.0,4.0,0.75,1.0,28.0,3.5,1.0,10.0,7.0,4.0,2.0
1128,2.0,30.0,1660.45,18.0,17.0,2.0,1325.9,9.89,3.0,841.0,10.0,16.0,0.0,136.0,96.0,10.0,6.0,4.0,1.0,0.05,3.0,30.0,0.0,2.0,3.0,0.0,3.0,2.0
1869,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3394.8,40.0,56.0,0.0,536.0,50.0,13.0,24.0,20.0,5.0,0.0008,3.0,28.0,5.0,2.0,2.0,0.0,1.0,2.0
3746,1.0,61.0,2805.0,15.58,7.0,47.6,2342.2,16.0,10.0,-63.0,1.0,1.82,0.51,0.0,48.0,0.0,0.0,0.0,5.0,0.0005,1.0,28.0,6.0,1.0,0.0,0.0,0.0,0.0
2766,2.0,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,7.0,-333.1,6.0,14.0,6.0,182.0,168.0,2.0,0.0,1.0,1.0,0.05,2.0,28.0,6.0,1.0,0.0,0.0,0.0,0.0
3715,1.0,61.0,2805.0,15.58,7.0,47.6,2342.2,16.0,10.0,-63.0,1.0,1.82,0.51,0.0,48.0,0.0,0.0,0.0,5.0,0.0005,1.0,28.0,6.0,1.0,0.0,0.0,0.0,0.0
499,7.0,60.0,2342.2,16.0,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,144.0,12.0,23.4,46.9,1.0,0.05,1.0,28.0,6.8,1.0,2.0,0.0,1.0,2.0
2773,2.0,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,7.0,-333.1,6.0,14.0,6.0,182.0,168.0,2.0,0.0,1.0,1.0,0.05,2.0,28.0,6.0,1.0,0.0,1.0,0.0,0.0
2883,20.0,100.0,105803.0,6.3,0.0,0.0,0.0,0.0,7.0,-333.1,6.0,14.0,6.0,182.0,230.0,2.0,0.0,1.0,2.0,2.0,1.0,30.0,5.0,1.0,0.0,0.0,0.0,1.0
741,2.0,150.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-670.0,4.0,6.0,5.0,134.0,165.0,0.0,0.0,0.0,4.0,0.5,1.0,28.0,5.0,2.0,0.0,1.0,0.0,0.0
1920,2.0,70.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-338.1,3.0,4.0,3.0,88.0,316.0,0.0,0.0,0.0,1.0,0.1,1.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0
287,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,3.0,1425.2,15.0,24.0,0.0,204.0,120.0,10.0,9.0,6.0,1.0,0.05,3.0,30.0,0.0,2.0,3.0,0.0,3.0,1.0
3527,6.0,20.0,1367.6,29.69,46.0,2e-06,0.0,0.0,1.0,-619.9,5.0,6.0,5.0,146.0,192.0,0.0,0.0,0.0,1.0,0.05,1.0,30.0,3.5,2.0,0.0,0.0,0.0,0.0
1191,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,-245.8,30.0,48.0,3.0,456.0,72.0,13.0,18.0,17.0,1.0,0.03,3.0,30.0,0.0,2.0,3.0,0.0,2.0,3.0
3653,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,6.0,-218.252100840336,17.5798319327731,33.03081232493,2.0,275.988795518207,40.0,7.0,7.78991596638655,15.5798319327731,1.0,0.1,2.0,30.0,0.0,3.0,0.0,0.0,0.0,0.0
1605,2.0,50.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-507.6,4.0,6.0,4.0,118.0,168.0,0.0,0.0,0.0,1.0,0.01,3.0,30.0,6.0,3.0,0.0,1.0,0.0,0.0
3362,1.0,100.0,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,-619.9,5.0,6.0,5.0,146.0,460.0,0.0,0.0,0.0,4.0,3.5,3.0,30.0,0.0,3.0,3.0,0.0,0.0,4.0
4152,2.0,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-619.9,5.0,6.0,5.0,146.0,24.0,0.0,0.0,0.0,1.0,0.05,1.0,28.0,4.5,2.0,0.0,0.0,0.0,0.0
515,2.0,50.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-952.0,6.0,8.0,7.0,192.0,72.0,0.0,0.0,0.0,1.0,0.05,2.0,28.0,6.0,1.0,0.0,0.0,0.0,0.0
984,2.5,20.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-619.9,5.0,6.0,5.0,146.0,144.0,0.0,0.0,0.0,1.0,0.05,1.0,28.0,0.0,2.0,0.0,0.0,0.0,0.0
3925,1.0,30.0,2805.0,15.58,0.0,0.0,0.0,0.0,10.0,-63.0,1.0,1.82,0.51,0.0,24.0,0.0,0.0,0.0,1.0,0.1,1.0,30.0,5.78,1.0,0.0,0.0,0.0,0.0
1541,25.0,100.0,11193.8736,39.6,0.0,0.0,0.0,0.0,1.0,-338.1,3.0,4.0,3.0,88.0,143.0,0.0,0.0,0.0,2.0,2.0,1.0,30.0,3.5,3.0,0.0,0.0,0.0,0.0
3608,2.0,50.0,1660.45,18.0,0.0,0.0,0.0,0.0,10.0,-63.0,1.0,1.82,0.51,0.0,150.0,0.0,0.0,0.0,1.0,0.05,2.0,28.0,6.0,1.0,0.0,0.0,0.0,0.0
2600,1.0,125.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3687.0,40.0,56.0,0.0,536.0,96.0,12.0,24.0,20.0,4.0,0.05,1.0,30.0,5.5,3.0,3.0,0.0,2.0,3.0
2717,2.0,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-952.0,6.0,8.0,7.0,192.0,168.0,0.0,0.0,0.0,1.0,0.05,2.0,28.0,6.0,2.0,0.0,1.0,0.0,0.0
3516,6.0,20.0,1367.6,29.69,46.0,2e-07,0.0,0.0,1.0,-619.9,5.0,6.0,5.0,146.0,192.0,0.0,0.0,0.0,1.0,0.05,1.0,30.0,3.5,2.0,0.0,0.0,0.0,0.0
2668,1.0,50.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,100.0,12.0,23.4,46.9,1.0,0.05,1.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0
4416,1.0,40.0,2805.0,15.58,0.0,0.0,0.0,0.0,5.0,409.1,8.0,10.0,1.0,122.17,120.0,3.0,2.0,0.0,1.0,0.03,1.0,30.0,0.0,3.0,12.0,5.0,0.0,8.0
1385,10.0,40.0,34734.5,40.0,0.0,0.0,0.0,0.0,1.0,-952.0,6.0,8.0,7.0,192.0,144.0,0.0,0.0,0.0,2.0,5.0,2.0,28.5,5.5,1.0,0.0,0.0,0.0,0.0
4024,2.5,200.0,1660.45,18.0,0.0,0.0,0.0,0.0,7.0,-252.9,5.0,12.0,5.0,152.0,72.0,3.0,6.0,1.0,2.0,3.0,1.0,30.0,5.0,1.0,0.0,0.0,0.0,0.0
3777,1.0,61.0,2805.0,15.58,7.0,47.6,2342.2,16.0,2.0,-203.2,17.6,33.8,2.0,869.7,48.0,12.0,23.4,46.9,5.0,0.0005,1.0,28.0,6.0,1.0,0.0,0.0,0.0,0.0
1465,1.0,295.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,72.0,12.0,23.4,46.9,4.0,1.6,1.0,28.0,5.5,1.0,1.0,0.0,2.0,0.0
1163,1.0,195.8,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,-952.0,6.0,8.0,7.0,192.0,125.0,0.0,0.0,0.0,4.0,3.0,1.0,28.0,6.8,1.0,5.0,0.0,5.0,2.0
3664,44.0,40.0,2805.0,16.0,0.0,0.0,0.0,0.0,10.0,-63.0,1.0,1.82,0.51,0.0,48.0,0.0,0.0,0.0,1.0,0.25,1.0,26.0,6.5,2.0,0.0,0.0,0.0,0.0
1403,10.0,10.0,34734.5,40.0,0.0,0.0,0.0,0.0,1.0,-945.1,6.0,8.0,7.0,192.0,144.0,0.0,0.0,0.0,1.0,0.05,2.0,28.5,5.5,1.0,0.0,0.0,0.0,0.0
2878,8.0,200.0,2810.4,16.0,0.0,0.0,0.0,0.0,7.0,-333.1,6.0,14.0,6.0,182.0,240.0,2.0,0.0,1.0,4.0,2.0,1.0,30.0,5.0,1.0,0.0,0.0,0.0,1.0
4467,10.0,7.0,34734.5,40.0,1.0,24.0,2805.0,15.58,10.0,-63.0,1.0,1.82,0.51,0.0,115.0,0.0,0.0,0.0,1.0,0.05,1.0,28.0,6.5,1.0,0.0,0.0,0.0,0.0
4119,9.0,600.0,5643.4,16.5,0.0,0.0,0.0,0.0,8.0,-392.3,6.0,12.0,3.0,180.0,32.0,1.0,0.0,0.0,2.0,10.0,1.0,28.0,5.0,2.0,0.0,0.0,0.0,0.0
4231,1.0,10.0,2805.0,15.58,0.0,0.0,0.0,0.0,10.0,-63.0,1.0,1.82,0.51,0.0,96.0,0.0,0.0,0.0,1.0,0.25,3.0,25.0,6.5,3.0,0.0,0.0,0.0,0.0
4541,2.0,50.0,1660.45,18.0,0.0,0.0,0.0,0.0,2.0,-952.0,6.0,8.0,7.0,192.0,72.0,0.0,0.0,0.0,1.0,0.05,2.0,28.0,7.0,1.0,4.0,2.0,0.0,3.0
2858,8.0,100.0,2810.4,16.0,0.0,0.0,0.0,0.0,1.0,-945.1,6.0,8.0,7.0,192.0,230.0,0.0,0.0,0.0,2.0,2.0,1.0,30.0,5.0,1.0,0.0,0.0,0.0,0.0
1523,2.5,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-619.9,5.0,6.0,5.0,146.0,188.0,0.0,0.0,0.0,2.0,2.0,1.0,30.0,5.0,3.0,0.0,0.0,0.0,0.0
3595,10.0,100.0,34734.5,40.0,0.0,0.0,0.0,0.0,10.0,-63.0,1.0,1.82,0.51,0.0,120.0,0.0,0.0,0.0,1.0,21.1,2.0,30.0,5.5,2.0,0.0,0.0,0.0,0.0
123,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3394.8,40.0,56.0,0.0,536.0,72.0,13.0,24.0,20.0,5.0,0.003,3.0,30.0,0.0,2.0,1.0,0.0,0.0,2.0
1692,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,-168.0,6.0,12.0,4.0,148.0,96.0,3.0,0.0,2.0,1.0,0.05,3.0,30.0,0.0,2.0,2.0,0.0,1.0,2.0
1045,2.0,30.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-619.9,5.0,6.0,5.0,146.0,96.0,0.0,0.0,0.0,1.0,0.05,1.0,28.0,5.0,3.0,0.0,0.0,0.0,0.0
2981,7.0,80.0,2342.2,16.0,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,72.0,12.0,23.4,46.9,1.0,0.002,2.0,30.0,0.0,1.0,2.0,2.0,1.0,0.0
2340,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,2915.1,40.0,52.0,2.0,564.0,72.0,15.0,24.0,24.0,5.0,0.003,3.0,30.0,0.0,2.0,7.0,0.0,3.0,6.0
2949,1.0,60.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,144.0,12.0,23.4,46.9,1.0,0.05,1.0,30.0,6.8,3.0,1.0,1.0,1.0,0.0
924,2.0,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-338.1,3.0,4.0,3.0,88.0,144.0,0.0,0.0,0.0,2.0,1.5,1.0,28.0,3.0,2.0,0.0,0.0,1.0,1.0
3219,2.0,100.0,1660.45,18.0,0.0,0.0,0.0,0.0,7.0,-333.1,6.0,14.0,6.0,182.0,72.0,2.0,0.0,1.0,2.0,1.2,1.0,30.0,5.5,1.0,0.0,0.0,0.0,0.0
1831,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,6.0,264.3,4.0,10.0,1.0,74.0,24.0,6.0,1.0,4.0,1.0,0.05,3.0,30.0,0.0,1.0,0.0,1.0,0.0,0.0
2548,1.0,10.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3687.0,40.0,56.0,0.0,536.0,168.0,12.0,24.0,20.0,1.0,0.05,2.0,30.0,0.0,2.0,2.0,0.0,0.0,3.0
1159,1.0,90.0,2805.0,15.58,2.0,0.05,1660.45,18.0,1.0,-945.1,6.0,8.0,7.0,192.0,120.0,0.0,0.0,0.0,1.0,0.01,1.0,30.0,4.5,1.0,0.0,1.0,0.0,0.0
2021,4.0,110.0,874.0,14.55,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,360.0,12.0,23.4,46.9,1.0,0.1,3.0,28.0,7.0,1.0,0.0,0.0,0.0,0.0
2956,1.0,120.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,144.0,12.0,23.4,46.9,2.0,3.0,1.0,30.0,6.5,3.0,0.0,0.0,0.0,0.0
794,2.0,30.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-507.6,4.0,6.0,4.0,118.0,96.0,0.0,0.0,0.0,1.0,0.05,1.0,28.0,6.0,2.0,0.0,1.0,0.0,0.0
644,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,-238.4,2.0,4.0,2.0,60.0,120.0,2.0,0.0,-1.0,1.0,0.05,3.0,28.0,0.0,2.0,0.0,1.0,0.0,0.0
3287,1.0,100.0,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,-952.0,6.0,8.0,7.0,192.0,96.0,0.0,0.0,0.0,1.0,0.05,3.0,30.0,7.0,3.0,1.0,0.0,0.0,1.0
1307,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,3.0,2815.2,30.0,50.0,0.0,410.0,168.0,10.0,18.0,12.0,1.0,0.05,3.0,28.0,0.0,2.0,2.0,0.0,0.0,3.0
329,1.0,180.0,2805.0,15.58,4.0,13.7,874.0,14.55,1.0,-952.0,6.0,8.0,7.0,192.0,300.0,0.0,0.0,0.0,3.0,3.0,3.0,28.0,6.5,3.0,4.0,0.0,5.0,1.0
2629,1.0,50.0,2805.0,15.58,0.0,0.0,0.0,0.0,6.0,1403.6,16.0,34.0,1.0,242.0,96.0,10.0,8.0,16.0,1.0,0.05,1.0,30.0,0.0,1.0,3.0,1.0,0.0,3.0
3058,2.0,20.0,1660.45,18.0,0.0,0.0,0.0,0.0,3.0,887.7,13.0,20.0,1.0,192.0,288.0,14.0,24.0,20.0,1.0,0.02,3.0,20.0,0.0,2.0,15.0,2.0,12.0,5.0
229,1.0,530.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,145.0,12.0,23.4,46.9,4.0,3.0,1.0,28.0,5.6,3.0,8.0,7.0,2.0,0.0
359,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,9.0,-134.4,6.0,6.0,3.0,126.0,96.0,2.0,2.0,0.0,1.0,0.01,1.0,28.0,0.0,2.0,4.0,0.0,5.0,1.0
1665,1.0,60.0,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,-952.0,6.0,8.0,7.0,192.0,192.0,0.0,0.0,0.0,1.0,0.05,2.0,28.0,6.0,1.0,0.0,0.0,0.0,0.0
1721,1.0,400.0,2805.0,15.58,0.0,0.0,0.0,0.0,3.0,2815.2,15.0,24.0,0.0,204.0,288.0,10.0,18.0,12.0,4.0,0.8,3.0,30.0,5.5,2.0,8.0,0.0,7.0,3.0
3678,2.0,140.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-507.6,4.0,6.0,4.0,118.0,47.0,0.0,0.0,0.0,2.0,1.0,3.0,28.0,0.0,3.0,0.0,1.0,0.0,0.0
481,1.0,20.0,2805.0,15.58,6.0,3.945,1370.0,29.7,6.0,-237.483351708931,19.1686879823594,37.2855567805954,2.0,299.309812568908,72.0,10.0,8.58434399117971,17.1686879823594,1.0,0.05,3.0,30.0,0.0,2.0,1.0,1.0,1.0,1.0
2498,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,3154.9,40.0,56.0,1.0,552.0,168.0,14.0,24.0,22.0,4.0,0.4,3.0,28.0,5.5,2.0,7.0,0.0,3.0,6.0
4262,1.0,50.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-952.0,6.0,8.0,7.0,192.0,72.0,0.0,0.0,0.0,1.0,0.05,1.0,28.0,6.8,2.0,4.0,1.0,0.0,4.0
2898,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-529.1,4.0,8.0,3.0,104.0,72.0,3.0,0.0,1.0,1.0,0.025,1.0,30.0,0.0,2.0,2.0,0.0,0.0,3.0
1611,1.0,40.0,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,-952.0,6.0,8.0,7.0,192.0,168.0,0.0,0.0,0.0,1.0,0.03,1.0,30.0,6.0,1.0,3.0,0.0,2.0,3.0
435,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,-238.4,2.0,4.0,2.0,60.0,72.0,2.0,0.0,-1.0,1.0,0.05,3.0,30.0,0.0,2.0,1.0,1.0,1.0,1.0
618,2.0,20.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-507.6,4.0,6.0,4.0,118.0,72.0,0.0,0.0,0.0,1.0,0.2,3.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0
1915,2.5,70.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-670.0,4.0,6.0,5.0,134.0,316.0,0.0,0.0,0.0,1.0,0.1,1.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0
4257,1.0,50.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-952.0,6.0,8.0,7.0,192.0,72.0,0.0,0.0,0.0,1.0,0.05,1.0,28.0,6.8,2.0,9.0,6.0,0.0,4.0
2899,1.0,50.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-529.1,4.0,8.0,3.0,104.0,72.0,3.0,0.0,1.0,1.0,0.025,3.0,30.0,0.0,2.0,2.0,0.0,0.0,3.0
1205,2.0,40.0,1660.45,18.0,0.0,0.0,0.0,0.0,4.0,-245.8,30.0,48.0,3.0,456.0,120.0,13.0,18.0,17.0,1.0,0.03,3.0,30.0,0.0,2.0,4.0,0.0,3.0,3.0
3741,1.0,61.0,2805.0,15.58,7.0,47.6,2342.2,16.0,10.0,-63.0,1.0,1.82,0.51,0.0,48.0,0.0,0.0,0.0,5.0,0.0005,1.0,28.0,6.0,1.0,0.0,0.0,0.0,0.0
2171,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,2575.9,40.0,52.0,4.0,596.0,72.0,16.0,24.0,28.0,5.0,0.003,3.0,30.0,0.0,2.0,7.0,0.0,3.0,6.0
4580,1.0,20.0,2805.0,15.58,0.0,0.0,0.0,0.0,6.0,164.0,3.0,8.0,0.0,60.1,72.0,0.0,0.0,0.0,1.0,0.05,3.0,30.0,5.89,3.0,3.0,0.0,4.0,0.0
557,1.0,120.0,2805.0,15.58,0.0,0.0,0.0,0.0,6.0,-287.6,16.57,31.59,2.0,262.43,125.0,10.0,7.285,14.57,2.0,1.12,1.0,30.0,0.0,1.0,1.0,0.0,0.0,1.0
4087,2.0,200.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-952.0,6.0,8.0,7.0,192.0,192.0,0.0,0.0,0.0,2.0,5.0,1.0,28.0,5.0,2.0,0.0,0.0,0.0,0.0
2372,1.0,80.0,2805.0,15.58,0.0,0.0,0.0,0.0,4.0,2915.1,40.0,52.0,2.0,564.0,72.0,15.0,24.0,24.0,5.0,0.003,3.0,30.0,0.0,2.0,7.0,0.0,2.0,6.0
2954,1.0,60.0,2805.0,15.58,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,144.0,12.0,23.4,46.9,1.0,0.05,1.0,30.0,6.8,3.0,4.0,2.0,2.0,1.0
1667,1.0,50.0,2805.0,15.58,0.0,0.0,0.0,0.0,1.0,-952.0,6.0,8.0,7.0,192.0,240.0,0.0,0.0,0.0,2.0,1.0,2.0,28.0,6.0,1.0,0.0,0.0,0.0,0.0
862,2.0,70.0,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-670.0,4.0,6.0,5.0,134.0,96.0,0.0,0.0,0.0,1.0,0.05,3.0,28.0,0.0,2.0,1.0,2.0,0.0,0.0
657,2.5,67.10000000000001,1660.45,18.0,0.0,0.0,0.0,0.0,1.0,-238.4,2.0,4.0,2.0,60.0,66.0,2.0,0.0,-1.0,2.0,1.0,3.0,28.0,6.0,2.0,0.0,1.0,0.0,0.0
2030,41.0,50.0,2183.5,24.8,0.0,0.0,0.0,0.0,2.0,-203.2,17.6,33.8,2.0,869.7,264.0,12.0,23.4,46.9,1.0,0.1,3.0,28.0,6.0,1.0,0.0,0.0,0.0,0.0
